market,screen,gross_edge,cost%,net_edge,hit%,net_viable
Europe,price_vol_breakout,3.8501,0.4,3.45,64.1,YES
Europe,rsi_oversold,2.0168,0.4,1.617,65.2,YES
Europe,golden_crossover,0.8135,0.4,0.414,59.1,YES
Europe,near_52w_high,-0.5001,0.4,-0.9,54.8,no
Europe,darvas_proximity,-0.7802,0.4,-1.18,53.5,no
India,price_vol_breakout,1.3691,0.3,1.069,48.6,no
India,rsi_oversold,0.4739,0.3,0.174,52.3,YES
India,golden_crossover,0.305,0.3,0.005,47.7,no
India,near_52w_high,-0.6326,0.3,-0.933,44.8,no
India,darvas_proximity,-2.8693,0.3,-3.169,42.8,no
Japan,rsi_oversold,0.977,0.2,0.777,57.8,YES
Japan,golden_crossover,0.4351,0.2,0.235,55.1,YES
Japan,price_vol_breakout,-0.3627,0.2,-0.563,47.8,no
Japan,near_52w_high,-0.5615,0.2,-0.762,50.3,no
Japan,darvas_proximity,-2.167,0.2,-2.367,44.7,no
Korea,rsi_oversold,0.6333,0.25,0.383,47.0,no
Korea,golden_crossover,-0.3501,0.25,-0.6,40.4,no
Korea,price_vol_breakout,-1.1108,0.25,-1.361,38.2,no
Korea,near_52w_high,-3.2933,0.25,-3.543,33.5,no
Korea,darvas_proximity,-5.0045,0.25,-5.254,31.1,no
US,rsi_oversold,1.0141,0.1,0.914,55.6,YES
US,golden_crossover,0.2086,0.1,0.109,50.7,YES
US,price_vol_breakout,0.0833,0.1,-0.017,50.3,no
US,near_52w_high,-2.0252,0.1,-2.125,47.9,no
US,darvas_proximity,-3.5742,0.1,-3.674,44.9,no
